country,life_expect
Austria,81.8
Belgium,81.5
Bulgaria,74.9
Switzerland,83.7
Cyprus,82.7
Czechia,79.1
Germany,81
Denmark,80.9
Estonia,78
Greece,81.5
Spain,83.5
Finland,81.5
France,82.7
Croatia,78.2
Hungary,76.2
Ireland,81.8
Iceland,82.2
Italy,83.4
Lithuania,74.9
Luxembourg,82.7
Latvia,74.9
Malta,82.6
Netherlands,81.7
Norway,82.5
Poland,78
Portugal,81.3
Romania,75.3
Sweden,82.4
Slovenia,81.2
Slovakia,77.3
Turkey,78.1
United Kingdom,81.2
